Municipios;Sexo;Periodo;Total
36 Pontevedra;Total;2020;945408
36 Pontevedra;Total;2019;942665
36 Pontevedra;Total;2018;941772
36 Pontevedra;Total;2017;942731
36 Pontevedra;Total;2016;944346
36 Pontevedra;Total;2015;947374
36 Pontevedra;Total;2014;950919
36 Pontevedra;Total;2013;955050
36 Pontevedra;Total;2012;958428
36 Pontevedra;Total;2011;963511
36 Pontevedra;Total;2010;962472
36 Pontevedra;Total;2009;959764
36 Pontevedra;Total;2008;953400
36 Pontevedra;Total;2007;947639
36 Pontevedra;Total;2006;943117
36 Pontevedra;Total;2005;938311
36 Pontevedra;Total;2004;930931
36 Pontevedra;Total;2003;927555
36 Pontevedra;Total;2002;919934
36 Pontevedra;Total;2001;916176
36 Pontevedra;Total;2000;912621
36 Pontevedra;Total;1999;908803
36 Pontevedra;Total;1998;906298
36 Pontevedra;Total;1997;
36 Pontevedra;Total;1996;915104
36 Pontevedra;Hombres;2020;456452
36 Pontevedra;Hombres;2019;455286
36 Pontevedra;Hombres;2018;454899
36 Pontevedra;Hombres;2017;455617
36 Pontevedra;Hombres;2016;456551
36 Pontevedra;Hombres;2015;458114
36 Pontevedra;Hombres;2014;460167
36 Pontevedra;Hombres;2013;462605
36 Pontevedra;Hombres;2012;464608
36 Pontevedra;Hombres;2011;466691
36 Pontevedra;Hombres;2010;465900
36 Pontevedra;Hombres;2009;464365
36 Pontevedra;Hombres;2008;461469
36 Pontevedra;Hombres;2007;458359
36 Pontevedra;Hombres;2006;455785
36 Pontevedra;Hombres;2005;453103
36 Pontevedra;Hombres;2004;449112
36 Pontevedra;Hombres;2003;446839
36 Pontevedra;Hombres;2002;442257
36 Pontevedra;Hombres;2001;439888
36 Pontevedra;Hombres;2000;437581
36 Pontevedra;Hombres;1999;435557
36 Pontevedra;Hombres;1998;434381
36 Pontevedra;Hombres;1997;
36 Pontevedra;Hombres;1996;439098
36 Pontevedra;Mujeres;2020;488956
36 Pontevedra;Mujeres;2019;487379
36 Pontevedra;Mujeres;2018;486873
36 Pontevedra;Mujeres;2017;487114
36 Pontevedra;Mujeres;2016;487795
36 Pontevedra;Mujeres;2015;489260
36 Pontevedra;Mujeres;2014;490752
36 Pontevedra;Mujeres;2013;492445
36 Pontevedra;Mujeres;2012;493820
36 Pontevedra;Mujeres;2011;496820
36 Pontevedra;Mujeres;2010;496572
36 Pontevedra;Mujeres;2009;495399
36 Pontevedra;Mujeres;2008;491931
36 Pontevedra;Mujeres;2007;489280
36 Pontevedra;Mujeres;2006;487332
36 Pontevedra;Mujeres;2005;485208
36 Pontevedra;Mujeres;2004;481819
36 Pontevedra;Mujeres;2003;480716
36 Pontevedra;Mujeres;2002;477677
36 Pontevedra;Mujeres;2001;476288
36 Pontevedra;Mujeres;2000;475040
36 Pontevedra;Mujeres;1999;473246
36 Pontevedra;Mujeres;1998;471917
36 Pontevedra;Mujeres;1997;
36 Pontevedra;Mujeres;1996;476006
36020 Agolada;Total;2020;2304
36020 Agolada;Total;2019;2344
36020 Agolada;Total;2018;2370
36020 Agolada;Total;2017;2431
36020 Agolada;Total;2016;2507
36020 Agolada;Total;2015;2585
